u,xi1,xi2,sig,phi,lpost,cont
7,1.8845266145484714,0.9573563313445711,3.943687052180292,0.1746545133784181,-8241.848549962118,FALSE
6,2.2348365271432846,0.9939305107834732,5.9281440450920115,0.19347250808585711,-8241.356398395768,FALSE
329,1.5745090224103022,0.7450853285380605,66.83169078736779,0.010933589203487094,-8250.042899228687,TRUE
417,1.5141075423337496,0.6539174211229899,101.80569167532127,0.007844024841738654,-8249.214841631065,TRUE
229,1.5305481364484224,0.28675904858420215,257.7088388292922,0.009997059688326962,-8249.230939092486,FALSE
151,1.5342055995911847,0.38463021713202356,147.93652985440443,0.023929732706481945,-8251.99919053569,TRUE
382,1.4894334558030908,0.5025303363873235,104.54319326421724,0.006813194208361176,-8248.0790590334,TRUE
285,1.612031047932114,0.0586442269404277,310.24278418218245,0.007644810349897089,-8250.031799833005,FALSE
265,1.549838542764173,0.34398257162636153,92.9434241855907,0.008810428372778012,-8246.573790574912,TRUE
7,1.9922355169180435,1.0891469706058903,3.478767839406934,0.1746545133784181,-8239.910114391232,FALSE
2,2.540166982733726,1.2513391153768993,1.1776895896257304,0.39400176418700383,-8239.887196498103,FALSE
2,3.889356441914595,1.106126036598314,1.5431133013541845,0.39400176418700383,-8240.980270213422,FALSE
6,1.8821483038170628,0.957266744829915,4.370653722651393,0.19347250808585711,-8239.8469025974955,FALSE
5,2.170079863591399,1.1434226390713553,2.82129769472113,0.22140546897971186,-8240.722996697486,FALSE
59,1.6117598130525366,0.7964713201054903,24.423427442258593,0.04320251604956619,-8246.005824632191,TRUE
102,1.5707858180492922,0.5791038359901072,38.523445471228115,0.02313301316890587,-8244.992012925211,TRUE
152,1.619928644285443,0.4237269519062755,93.10022859285064,0.020931367426568707,-8248.917939682513,TRUE
301,1.578707767890355,0.36298183326237177,62.67495301497949,0.007065025600990241,-8247.724987813353,TRUE
6,2.049931925457557,1.0497722365090163,5.032691440358769,0.19347250808585711,-8239.203170095521,FALSE
205,1.5793930732408794,0.7331085686796533,10.007883971855403,0.012337880680711002,-8245.392139679157,TRUE
293,1.5237879065200206,0.722220452537176,2.0865679117722884,0.008230886629989307,-8245.971348448733,TRUE
538,1.584642293008136,0.11664332274067274,283.2224800044892,0.005550369127280175,-8249.91387233355,TRUE
68,1.6004078649445572,0.4958003452531954,56.47877654759943,0.03087327256689209,-8245.902559297041,FALSE
231,1.5879579686127394,0.7752007653174349,42.89056031499227,0.009408997353719493,-8247.81794192752,FALSE
92,1.5312869556769393,0.5350094959255374,39.81492174417037,0.023555050244507637,-8246.558427219083,TRUE
35,1.630466626945257,0.6445317413589096,52.5713509854076,0.05174948544545722,-8243.995329834133,FALSE
154,1.5512510930084689,0.7674778745354638,11.625275354309156,0.014995589532490444,-8247.210457705254,FALSE
217,1.557153657679051,-0.09120955036707051,374.7145136404679,0.009997059688326962,-8249.101938054575,FALSE
363,1.5229869416953736,0.5925177758741084,93.63742282283447,0.008302408927748259,-8247.725067079948,TRUE
215,1.5675002229137422,0.034623812014577954,264.718293976005,0.009997059688326962,-8248.1577179279775,FALSE
338,1.560784660163261,0.7740042107023415,19.006241036760862,0.006174654513378418,-8248.138460346237,FALSE
184,1.5104961659572174,0.6507733659108339,43.249690296618994,0.013217769096470896,-8246.087094662375,TRUE
441,1.5632035704018554,0.5278876471484164,40.73416672697896,0.005819377741128678,-8246.702092213365,TRUE
7,2.0019754179032576,1.177369826680186,4.617793379319828,0.1746545133784181,-8242.948971908507,FALSE
2,4.641369190851409,1.0420757633666033,2.063206267231233,0.39400176418700383,-8243.167237061098,FALSE
2,2.4734303508756605,1.1462069882623531,1.6550931469915298,0.39400176418700383,-8239.097278405301,FALSE
6,1.7567914613042923,1.1817096485543055,1.6211757973011505,0.19347250808585711,-8242.45093510653,FALSE
6,2.086155132911751,0.9839368417535713,4.69678994471874,0.19347250808585711,-8238.855887136704,FALSE
362,1.5144671080506367,0.36809933324346894,212.30172514424697,0.006174654513378418,-8249.714864438722,FALSE
116,1.5965940925671427,0.5378094308752608,44.60564212074251,0.02137207581633896,-8245.53207737837,TRUE
3,1.861567617848793,1.1690291326751419,1.308282130209361,0.31392583542167113,-8239.94887157857,TRUE
2,2.636117394789551,1.2276019445801496,1.30745790308776,0.39400176418700383,-8239.335888455302,FALSE
6,1.8670943522365304,1.1841816628504354,1.4313162037718294,0.19347250808585711,-8241.32668458475,FALSE
2,4.598329754681913,1.175095778336363,1.6114812463441603,0.39400176418700383,-8240.900509382014,FALSE
2,4.2698916274610115,1.1691459570867673,1.2805736194062916,0.39400176418700383,-8241.092397097958,FALSE
118,1.5251603273082484,0.621457630249449,28.92974458459483,0.017806654816006667,-8246.268311585245,TRUE
4,1.877306797207844,1.3127417834079818,0.8722887946725564,0.27207259607134676,-8242.448042882255,TRUE
210,1.5411475815789757,0.14378068939825794,305.4687550171453,0.009997059688326962,-8246.943683823065,FALSE
406,1.53450388312485,0.2574637712808873,140.50767231533243,0.005623922891683276,-8246.99326209889,TRUE
143,1.53422540450074,0.38805095052374056,87.58965848416345,0.018322587628044507,-8246.42492404947,TRUE
345,1.4601593141645761,0.9345549902665193,111.61003362603027,0.006174654513378418,-8254.691572836087,FALSE
202,1.5440926836568714,0.8508328512106342,25.330040103023915,0.014554177902877113,-8246.981036395951,TRUE
